quaternions_10	quaternions_11	quaternions_12	quaternions_13	angle_10	angle_11	angle_12	rotacc_1	speed	id	pos_x	pos_y	normalized_x	normalized_y	orientation_x	orientation_y	speed1	tracking	Pharusbin	Gyroid	comp_index	SOUND1	SOUND2	SOUND3	SOUND4	SOUND5	SOUND6	SOUND7	SOUND8
0.8086997	0.4235548	0.014533959	0.40848848	0.12585735	0.4478429	0.62432665	0.014416518	0.0144165205	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.8082485	0.42450076	0.014934852	0.40845412	0.1258468	0.44783556	0.62466425	0.014429454	0.014429456	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.80780584	0.42541882	0.0153238205	0.40842006	0.125836	0.44782737	0.62499577	0.01442956	0.014429561	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.8074157	0.42620933	0.015667938	0.40838927	0.12582622	0.44781995	0.6252904	0.0144201005	0.014420101	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8069804	0.4270532	0.016093036	0.408382	0.12582949	0.44782063	0.62560785	0.014419865	0.014419866	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8067417	0.4275283	0.016412092	0.40833116	0.12582047	0.4478386	0.6258174	0.014410832	0.014410834	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8067362	0.42757228	0.016560845	0.4082299	0.12579435	0.44786876	0.62589073	0.014411058	0.014411059	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8069218	0.42723587	0.016551306	0.40811312	0.12576318	0.4479066	0.6258337	0.014410609	0.014410609	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.80721	0.42668295	0.016441735	0.40800995	0.12573682	0.44794714	0.625691	0.014404612	0.014404612	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8075829	0.42595372	0.016245399	0.40792945	0.12571858	0.44799003	0.62547034	0.014406189	0.014406189	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8080057	0.42516133	0.015980924	0.4078426	0.12569673	0.448032	0.6252066	0.014410876	0.014410876	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8085049	0.42430156	0.015639003	0.40770173	0.12565547	0.44807857	0.62489563	0.014409718	0.014409718	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8090091	0.423423	0.0153065715	0.407572	0.12561704	0.44812116	0.6245969	0.014403208	0.014403208	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.8094085	0.42265734	0.0150427455	0.40752324	0.12560396	0.4481486	0.624345	0.014397854	0.014397854	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.80969197	0.4220923	0.0148463985	0.40750396	0.12559897	0.44816512	0.6241603	0.014398509	0.014398509	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.82421875	0	0	0	0	0	0	0
0.80985725	0.4217556	0.014694946	0.40750006	0.12559485	0.4481652	0.6240467	0.014409709	0.01440971	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.8099381	0.4215845	0.014576349	0.4075061	0.12559111	0.44815385	0.62398434	0.014407878	0.014407879	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.8099132	0.42159662	0.014520068	0.40754318	0.12559669	0.448133	0.6239818	0.0143998815	0.014399882	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.80983156	0.42169943	0.014524733	0.40760157	0.12561187	0.4481138	0.6240126	0.014393471	0.014393472	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.80973685	0.42183143	0.01454432	0.40765607	0.12562612	0.44809487	0.624055	0.014394929	0.014394929	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.80958676	0.42208385	0.014620591	0.40769684	0.1256363	0.44807667	0.6241437	0.014402233	0.014402233	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.828125	0	0	0	0	0	0	0
0.8094113	0.4223699	0.014719403	0.4077493	0.12565102	0.44805723	0.6242474	0.014402674	0.0144026745	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83203125	0	0	0	0	0	0	0
0.80921364	0.42268214	0.014863127	0.40780643	0.12567043	0.44804394	0.62436867	0.014401514	0.014401516	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83203125	0	0	0	0	0	0	0
0.8089974	0.42303374	0.015024383	0.40786105	0.12568922	0.44803107	0.62450296	0.014402209	0.014402211	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83203125	0	0	0	0	0	0	0
0.8087682	0.42342526	0.015207714	0.40790406	0.12570488	0.4480213	0.62465066	0.0144063	0.014406302	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8359375	0	0	0	0	0	0	0
0.808517	0.4238841	0.015394318	0.40792802	0.12571193	0.44800746	0.62481904	0.014410842	0.014410844	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8359375	0	0	0	0	0	0	0
0.80824083	0.42435926	0.015589107	0.4079852	0.12573044	0.4479896	0.62498987	0.014413621	0.014413623	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8359375	0	0	0	0	0	0	0
0.8079688	0.4248444	0.015792165	0.40802732	0.12574452	0.4479753	0.6251639	0.014414532	0.014414534	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8359375	0	0	0	0	0	0	0
0.8077494	0.42523608	0.015971227	0.40806007	0.12575686	0.44796747	0.6253066	0.014414031	0.014414034	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8359375	0	0	0	0	0	0	0
0.80757254	0.4255549	0.016110893	0.40808234	0.1257647	0.4479598	0.62542355	0.0144170355	0.014417038	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.80744267	0.42580935	0.016215052	0.40807852	0.12576291	0.4479545	0.62551874	0.014419575	0.014419578	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.80734164	0.42600995	0.016288733	0.40807113	0.12575905	0.4479483	0.6255948	0.014420713	0.014420716	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.807266	0.42615935	0.016333746	0.4080641	0.12575448	0.44794083	0.62565225	0.01441927	0.014419272	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.807216	0.4262607	0.016372439	0.40805373	0.12575005	0.44793788	0.6256943	0.01441946	0.014419462	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.807192	0.4263304	0.016403437	0.40802503	0.12573998	0.44793946	0.62572634	0.014417328	0.01441733	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.83984375	0	0	0	0	0	0	0
0.8072322	0.4262806	0.01641226	0.40798852	0.12572995	0.4479511	0.6257185	0.014415521	0.014415522	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.84375	0	0	0	0	0	0	0
